budget,id,popularity,release_date,revenue,title,vote_average,vote_count,actor,director,return,release_year,tag
50000000,9691,11.065939,1995-10-06,30303072.0,Assassins,6.0,394.0,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov']",Richard Donner,0.60606144,1995-01-01,Assassin Robert Rath arrives funeral kill prominent mobster witness rival hired gun complete job grisly result Horrified murder innocent bystander Rath decides take one last job return civilian life But finding way world contract killing grows ever dangerous Rath fall female target becomes marked man himself.In shadow life business death One man found reason live ... 'Action 'Adventure 'Crime 'Thriller 'SylvesterStallone 'AntonioBanderas 'JulianneMoore 'AnatoliDavydov 'RichardDonner
0,12665,12.133094,1995-10-27,0.0,Powder,6.3,143.0,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum']",Victor Salva,0.0,1995-01-01,Harassed classmate n't accept shocking appearance shy young man known Powder struggle fit But cruel taunt stop Powder display mysterious power allows incredible thing This phenomenon change life around way never could imagined.An extraordinary encounter another human 'Drama 'Fantasy 'ScienceFiction 'Thriller 'MarySteenburgen 'SeanPatrickFlanery 'LanceHenriksen 'JeffGoldblum 'VictorSalva
3600000,451,10.332025,1995-10-27,49800000.0,Leaving Las Vegas,7.1,365.0,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis']",Mike Figgis,13.833333333333334,1995-01-01,Ben Sanderson alcoholic Hollywood screenwriter lost everything drinking arrives Las Vegas drink death There meet form uneasy friendship non-interference pact prostitute Sera.I Love You ... The Way You Are 'Drama 'Romance 'NicolasCage 'ElisabethShue 'JulianSands 'RichardLewis 'MikeFiggis
0,16420,1.845899,1995-12-15,0.0,Othello,7.0,33.0,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker']",Oliver Parker,0.0,1995-01-01,The evil Iago pretend friend Othello order manipulate serve end film version Shakespeare classic.Envy greed jealousy love 'Drama 'LaurenceFishburne 'IrèneJacob 'KennethBranagh 'NathanielParker 'OliverParker
12000000,9263,8.681325,1995-10-20,27400000.0,Now and Then,6.6,91.0,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith']",Lesli Linka Glatter,2.283333333333333,1995-01-01,Waxing nostalgic bittersweet passage childhood puberty tender coming-of-age tale four childhood girlfriend Teeny Chrissy Samantha Roberta recall magical summer 1970 During walk memory lane reconcile experience boy secret bully more.In every woman girl left behind 'Comedy 'Drama 'Family 'ChristinaRicci RosieO'Donnell 'ThoraBirch 'MelanieGriffith 'LesliLinkaGlatter
0,17015,2.228434,1995-09-27,0.0,Persuasion,7.4,36.0,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw']",Roger Michell,0.0,1995-01-01,This film adaptation Jane Austen last novel follows Anne Elliot daughter financially troubled aristocratic family persuaded break engagement Frederick Wentworth young sea captain meager mean Years later money trouble force Anne father rent family estate Admiral Croft Anne thrown company Frederick rich successful perhaps still love Anne 'Drama 'Romance 'AmandaRoot 'CiaránHinds 'SusanFleetwood 'FionaShaw 'RogerMichell
18000000,902,9.822423,1995-05-16,1738611.0,The City of Lost Children,7.6,308.0,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork']",Jean-Pierre Jeunet,0.0965895,1995-01-01,scientist surrealist society kidnaps child steal dream hoping slow aging process.Where happily ever dream 'Fantasy 'ScienceFiction 'Adventure 'RonPerlman 'DominiquePinon 'JudithVittet 'DanielEmilfork 'Jean-PierreJeunet
0,37557,1.100915,1995-04-30,0.0,Shanghai Triad,6.5,17.0,"['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao', 'Li Xuejian']",Zhang Yimou,0.0,1995-01-01,provincial boy related Shanghai crime family recruited uncle cosmopolitan Shanghai 1930s servant ganglord mistress.In 1930 Shanghai violence problem solution 'Drama 'Crime 'GongLi 'LiBao-Tian 'WangXiaoxiao 'LiXuejian 'ZhangYimou
0,9909,9.481338,1995-08-11,180000000.0,Dangerous Minds,6.4,249.0,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett']",John N. Smith,0.0,1995-01-01,Former Marine Louanne Johnson land gig teaching pilot program bright underachieving teen notorious inner-city high school After terrible first day decides must throw decorum wind When Johnson return classroom armed no-nonsense attitude informed military training fearless determination better life student matter cost.She broke rule ... changed life 'Drama 'Crime 'MichellePfeiffer 'GeorgeDzundza 'CourtneyB.Vance 'RobinBartlett 'JohnN.Smith
29500000,63,12.297305,1995-12-29,168840000.0,Twelve Monkeys,7.4,2470.0,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer']",Terry Gilliam,5.7233898305084745,1995-01-01,year 2035 convict James Cole reluctantly volunteer sent back time discover origin deadly virus wiped nearly earth population forced survivor underground community But Cole mistakenly sent 1990 instead 1996 arrested locked mental hospital There meet psychiatrist Dr. Kathryn Railly patient Jeffrey Goines son famous virus expert may hold key mysterious rogue group Army Monkeys thought responsible unleashing killer disease.The future history 'ScienceFiction 'Thriller 'Mystery 'BruceWillis 'MadeleineStowe 'BradPitt 'ChristopherPlummer 'TerryGilliam
0,78802,0.745542,1996-09-18,0.0,Wings of Courage,6.8,4.0,"['Craig Sheffer', 'Elizabeth McGovern', 'Tom Hulce', 'Ken Pogue']",Jean-Jacques Annaud,0.0,1996-01-01,nannan 'Romance 'Adventure 'CraigSheffer 'ElizabethMcGovern 'TomHulce 'KenPogue 'Jean-JacquesAnnaud
30000000,9598,14.404764,1995-07-18,254134910.0,Babe,6.0,756.0,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving']",Chris Noonan,8.471163666666667,1995-01-01,Babe little pig n't quite know place world With bunch odd friend like Ferdinand duck think rooster Fly dog call mom Babe realizes making become greatest sheep pig time Farmer Hogget know With help sheep dog Babe learns pig anything want be.A little pig go long way 'Fantasy 'Drama 'Comedy 'Family 'ChristineCavanaugh 'MiriamMargolyes 'DannyMann 'HugoWeaving 'ChrisNoonan
0,47018,1.493361,1995-11-08,0.0,Carrington,6.4,16.0,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West']",Christopher Hampton,0.0,1995-01-01,The story relationship painter Dora Carrington author Lytton Strachey World War One England cottage countryside Although platonic due Strachey homosexuality relationship nevertheless deep complicated one When Carrington develop physical relationship soldier Ralph Partridge Strachey able welcome friend although Partridge remained somewhat uneasy much Strachey lifestyle sexual orientation fact conscientious objector.A Love Unusual True 'History 'Drama 'Romance 'EmmaThompson 'JonathanPryce 'StevenWaddington 'SamuelWest 'ChristopherHampton
11000000,687,6.891317,1995-12-29,39363635.0,Dead Man Walking,7.3,350.0,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry']",Tim Robbins,3.5785122727272727,1995-01-01,justice drama based true story man death row last day form strong relationship nun teach forgiveness give spirituality accompanies execution Susan Sarandon Oscar best female actress convincing portrayal Sister Helen Prejean 'Drama 'SusanSarandon 'SeanPenn 'RobertProsky 'RaymondJ.Barry 'TimRobbins
0,139405,0.114469,1995-10-20,0.0,Across the Sea of Time,3.5,2.0,"['Peter Reznick', 'John McDonough', 'Avi Hoffman', 'Matt Malloy']",Stephen Low,0.0,1995-01-01,young Russian boy Thomas Minton travel New York passenger Russian freighter Close Ellis Island get thus start journey America way immigrant former time Thomas searching family one ancestor emigrated decade ago sent letter home together sample new profession 3D-Photography The boy follows relative trace counter-checking old 3D-Photographs New York using antique viewer place look today This way audience get see Big Apple former time well today 'Adventure 'History 'Drama 'Family 'PeterReznick 'JohnMcDonough 'AviHoffman 'MattMalloy 'StephenLow
0,33689,7.777735,1995-11-17,0.0,It Takes Two,6.1,149.0,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen']",Andy Tennant,0.0,1995-01-01,Identical 9-year-olds different background orphaned Amanda wealthy Alyssa meet summer camp decide switch place play matchmaker Alyssa dad Roger kind social worker care Amanda.Two identical stranger Two different world One perfect match 'Comedy 'Family 'Romance 'KirstieAlley 'SteveGuttenberg 'AshleyOlsen 'Mary-KateOlsen 'AndyTennant
12000000,9603,9.882383,1995-07-19,0.0,Clueless,6.9,828.0,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd']",Amy Heckerling,0.0,1995-01-01,Shallow rich socially successful Cher top Beverly Hills high school pecking scale Seeing matchmaker Cher first coax two teacher dating Emboldened success decides give hopelessly klutzy new student Tai makeover When Tai becomes popular Cher realizes disapproving ex-stepbrother right misguided fall him.Sex Clothes Popularity problem 'Comedy 'Drama 'Romance 'AliciaSilverstone 'StaceyDash 'BrittanyMurphy 'PaulRudd 'AmyHeckerling
0,34615,0.894647,1995-12-15,676525.0,"Cry, the Beloved Country",6.7,13.0,"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson', 'Tsholofelo Wechoemang']",Darrell James Roodt,0.0,1995-01-01,South-African preacher go search wayward son committed crime big city 'Drama 'JamesEarlJones 'CharlesS.Dutton 'JackRobinson 'TsholofeloWechoemang 'DarrellJamesRoodt
0,31174,4.561387,1995-12-29,0.0,Richard III,6.9,50.0,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Kristin Scott Thomas']",Richard Loncraine,0.0,1995-01-01,Shakespeare Play transplanted 1930s setting.I smile murder smile 'Drama 'War 'IanMcKellen 'AnnetteBening 'JimBroadbent 'KristinScottThomas 'RichardLoncraine
10000000,11443,9.87957,1995-10-06,0.0,Dead Presidents,6.6,80.0,"['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez']",Albert Hughes,0.0,1995-01-01,Depicts heist old bill retired circulation destined government money burn However broadly address issue Black Americans involvement Vietnam War subsequent disillusionment progress social issue civil right back home United States 1960s.In daring heist color count green 'Action 'Crime 'Drama 'History 'LarenzTate 'KeithDavid 'ChrisTucker 'FreddyRodríguez 'AlbertHughes
19000000,35196,10.979269,1995-12-29,0.0,Restoration,6.3,30.0,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis']",Michael Hoffman,0.0,1995-01-01,aspiring young physician Robert Merivel found service King Charles save life someone close King Merivel join King court life high life provided someone position Merivel ordered marry King mistress order divert queen suspicion given one order king fall love The situation worsens Merivel find love new wife Eventually King find relief Merivel position wealth His fall grace leaf Merivel first started And travel reunion old friend rediscovers love true medicine really mean physician 'Drama 'Romance 'RobertDowneyJr 'MegRyan 'SamNeill 'DavidThewlis 'MichaelHoffman
18000000,9312,10.870138,1995-08-18,122195920.0,Mortal Kombat,5.4,452.0,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa']",Paul W.S. Anderson,6.788662222222222,1995-01-01,For nine generation evil sorcerer victorious hand-to-hand battle mortal enemy win tenth Mortal Kombat tournament desolation evil reign multiverse forever save Earth three warrior must overcome seemingly insurmountable odds inner demon superhuman foe action/adventure movie based one popular video game time.Nothing This World Has Prepared You For This 'Action 'Fantasy 'ChristopherLambert 'RobinShou 'LindenAshby 'Cary-HiroyukiTagawa 'PaulW.S.Anderson
20000000,577,10.448481,1995-05-20,21284514.0,To Die For,6.7,177.0,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck']",Gus Van Sant,1.0642257,1995-01-01,Susan want work television therefore anything take even mean killing husband dark comedy independent director Gus Van Sant brilliant Nicole Kidman leading role.All wanted little attention 'Fantasy 'Drama 'Comedy 'Thriller 'NicoleKidman 'MattDillon 'JoaquinPhoenix 'CaseyAffleck 'GusVanSant
10000000,11861,4.485958,1995-10-06,23574130.0,How To Make An American Quilt,6.5,38.0,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan']",Jocelyn Moorhouse,2.357413,1995-01-01,Soon-to-be-wed graduate student Finn Dodd develops cold foot suspect fiancé cheating order clear head Finn visit grandmother great aunt Glady Joe Cleary Grasse Calif There Finn learns Glady Joe member group passionate quilters course visit regaled tale love life woman collected rich experience much wisdom.There beauty pattern life 'Drama 'Romance 'WinonaRyder 'AnneBancroft 'EllenBurstyn 'KateNelligan 'JocelynMoorhouse
33000000,807,18.45743,1995-09-22,327311859.0,Se7en,8.1,5915.0,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley']",David Fincher,9.91854118181818,1995-01-01,Two homicide detective desperate hunt serial killer whose crime based seven deadly sin dark haunting film take viewer tortured remains one victim next The seasoned Det Sommerset research sin effort get inside killer mind novice partner Mills scoff effort unravel case.Seven deadly sin Seven way die 'Crime 'Mystery 'Thriller 'BradPitt 'MorganFreeman 'GwynethPaltrow 'JohnC.McGinley 'DavidFincher
55000000,10530,13.280069,1995-06-14,346079773.0,Pocahontas,6.7,1509.0,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir']",Mike Gabriel,6.292359509090909,1995-01-01,History come gloriously life Disney epic animated tale love adventure New World Pocahontas Native American woman whose father arranged marry village best warrior But vision tell change coming soon come face face form Capt John Smith.An American legend come life 'Adventure 'Animation 'Drama 'Family 'IreneBedard 'MelGibson 'DavidOgdenStiers 'JohnKassir 'MikeGabriel
0,8391,3.302524,1995-05-05,0.0,When Night Is Falling,5.9,10.0,"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny', 'Don McKellar']",Patricia Rozema,0.0,1995-01-01,prudish woman working tenure literacy professor large urban university find strangely attracted free-spirited liberal woman work local carnival come town 'Drama 'Romance 'PascaleBussières 'RachaelCrawford 'HenryCzerny 'DonMcKellar 'PatriciaRozema
6000000,629,16.302466,1995-07-19,23341568.0,The Usual Suspects,8.1,3334.0,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak']",Bryan Singer,3.890261333333333,1995-01-01,Held L.A. interrogation room Verbal Kint attempt convince fed mythic crime lord Keyser Soze exists also responsible drawing four partner multi-million dollar heist ended explosion San Pedro harbor leaving survivor Verbal lure interrogator incredible story crime lord almost supernatural prowess.Five Criminals One Line Coincidence 'Drama 'Crime 'Thriller 'StephenBaldwin 'GabrielByrne 'ChazzPalminteri 'KevinPollak 'BryanSinger
0,117164,0.595949,1994-11-22,0.0,Guardian Angel,6.3,3.0,"['Cynthia Rothrock', 'Marshall R. Teague', 'Daniel McVicar', 'Lydie Denier']",Richard W. Munchkin,0.0,1994-01-01,Detective turned bodyguard Cynthia McKay Cynthia Rothrock hired psychotic icy seductress Nina Lindell Lydie Denier woman killed Mckay lover month earlier With vendetta heart McKay accompanies flamboyantly playful womanizer glamourous world super-rich protector unique role reversal woman protecting man another woman erupting deadly triangle passion suspense action.She angel mercy 'Action 'Thriller 'Drama 'CynthiaRothrock 'MarshallR.Teague 'DanielMcVicar 'LydieDenier 'RichardW.Munchkin
15000000,11448,15.899134,1995-09-13,6700000.0,Mighty Aphrodite,6.7,145.0,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham']",Woody Allen,0.4466666666666666,1995-01-01,When Lenny wife Amanda adopt baby Lenny realizes son genius becomes obsessed finding boy biological mother hope brilliant But learns Max mother Linda Ash kindhearted prostitute porn star Lenny determined reform immoral lifestyle Greek chorus chime relate plot Greek mythology quirky comedy 'Comedy 'Romance 'WoodyAllen 'MiraSorvino 'HelenaBonhamCarter F.MurrayAbraham 'WoodyAllen
0,49133,1.361286,1994-01-01,0.0,Lamerica,7.7,11.0,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani', 'Carmelo Di Mazzarelli']",Gianni Amelio,0.0,1994-01-01,Fiore Italian conman arrives post Communist Albania Gino young apprentice set shoe factory never open The con requires native Albanian designate Spiro impoverished confused former political prisoner chairman board When Fiore return Italy get government fund project Spiro unexpectedly disappears Gino set journey find The search lead discover Spiro tragic personal history witness Albanian poverty firsthand 'Drama 'Foreign 'EnricoLoVerso 'MichelePlacido 'PiroMilkani 'CarmeloDiMazzarelli 'GianniAmelio
0,26441,5.982764,1995-09-29,0.0,The Big Green,5.2,41.0,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders', 'John Terry']",Holly Goldberg Sloan,0.0,1995-01-01,depressed Texas town British foreign exchange teacher Anna attempt inject life hopeless kid introducing soccer They 're terrible first Anna football-hero assistant whip shape work overtime pair help kid build self-esteem also get involved solving family squabbles.The biggest kick year 'Action 'Adventure 'Comedy 'Family 'SteveGuttenberg Oliviad'Abo 'JayO.Sanders 'JohnTerry 'HollyGoldbergSloan
0,97406,4.093443,1995-05-19,0.0,Georgia,6.1,15.0,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine', 'Max Perlich']",Ulu Grosbard,0.0,1995-01-01,Sadie look older sister Georgia successful folk singer happily married child n't break bar-band circuit hit big time desperately covets part due attraction drug booze also unwise choice men Finally though Sadie Achilles heel rough unlovely voice different sister crowd-pleasing singing.The toughest act follow dream 'Drama 'JenniferJasonLeigh 'MareWinningham 'TedLevine 'MaxPerlich 'UluGrosbard
